obs_mean,obs_var,act_mean,act_var,cumulative_reward,cumulative_cost,reward_mean,reward_var,cost_mean,cost_var,terminal,timeout,trajectory_length
"[ 1.04246967e-01 -1.18028730e-01  9.80997181e+00  2.38498256e-01
 -2.65180115e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.06832480e+00 -4.62944731e-02 -4.51951846e-02  0.00000000e+00
  1.36757597e-01  5.03553636e-02  2.79022139e-02  2.62074303e-02
  2.24476848e-02  1.32356193e-02  6.83401152e-03  7.48406025e-03
  7.11353961e-03  5.32336626e-03  5.83612127e-03  5.09899994e-03
  2.54690577e-03  5.94273163e-03  1.40900426e-02  1.09880529e-01
  1.68604061e-01  2.25073233e-01  2.34297916e-01  2.45311752e-01
  2.16600716e-01  1.80860057e-01  1.65182337e-01  1.55266315e-01
  1.69185907e-01  1.72641590e-01  1.63758025e-01  1.55492350e-01
  1.59300596e-01  1.60867020e-01  1.51545450e-01  1.37117445e-01
  2.65369527e-02  1.17550157e-02  1.02035338e-02  1.06538972e-02
  1.05470419e-02  1.05257705e-02  2.11460758e-02  4.04105224e-02
  4.01689187e-02  3.12109143e-02  3.32419723e-02  3.18531916e-02
  2.69958153e-02  2.46684477e-02  3.65164392e-02  4.42789644e-02]","[6.3414550e+00 2.5955908e+01 8.1854523e-10 2.4334233e-01 4.4882234e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1932940e+00 1.2882747e-01
 1.1698673e-01 0.0000000e+00 7.1896836e-02 1.7716641e-02 1.2571277e-02
 1.1461277e-02 1.0126532e-02 5.4538352e-03 1.7502261e-03 2.0407161e-03
 1.8537070e-03 1.2606285e-03 1.2970896e-03 1.2042142e-03 4.1607019e-04
 2.1689520e-03 6.1426624e-03 5.4559711e-02 6.0155854e-02 8.7116674e-02
 8.8756680e-02 9.3846850e-02 8.1350863e-02 6.9441654e-02 6.0263462e-02
 5.2046493e-02 5.9347905e-02 6.3982300e-02 5.9481256e-02 5.8475904e-02
 6.1065212e-02 6.0576726e-02 5.4426145e-02 4.7482479e-02 5.5209519e-03
 2.0737683e-03 1.8077780e-03 1.9446755e-03 1.9897057e-03 2.1443549e-03
 4.8736385e-03 1.7877117e-02 1.6317079e-02 1.0919253e-02 1.1285370e-02
 1.0670923e-02 1.0295379e-02 9.0447310e-03 1.3643615e-02 1.3884876e-02]",[0.12730433 0.6881407 ],[0.38434905 0.23328681],5.8125095,8.0,0.0058125095,0.0042560273,0.008,0.007936,False,True,1000
"[ 3.66205901e-01  8.07404295e-02  9.80997181e+00  6.08342946e-01
 -1.34427965e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.34584200e+00  1.29745370e-02 -6.93172356e-03  0.00000000e+00
  2.88995832e-01  8.64125341e-02  5.29718623e-02  5.03847189e-02
  4.21780609e-02  3.02770697e-02  2.66934019e-02  2.63088737e-02
  2.05726009e-02  9.69068799e-03  4.72463574e-03  4.71731927e-03
  4.60886164e-03  1.11392895e-02  7.05222860e-02  2.92336971e-01
  3.98875535e-01  4.59230691e-01  5.23829281e-01  4.83943075e-01
  4.48416173e-01  4.54076290e-01  3.98705423e-01  3.23444784e-01
  3.03373396e-01  3.10027272e-01  3.42801481e-01  3.05551797e-01
  3.05676281e-01  4.01867360e-01  3.66076857e-01  3.79429370e-01
  3.86164300e-02  5.64353615e-02  7.25125894e-02  6.59863502e-02
  6.52338117e-02  6.74943775e-02  5.96272163e-02  4.61122878e-02
  3.86849940e-02  5.98652214e-02  5.79779074e-02  4.43133153e-02
  7.64247850e-02  8.18408877e-02  4.71367687e-02  3.41666602e-02]","[5.0459738e+00 3.4893276e+01 8.1854523e-10 2.7048898e-01 5.4698456e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.9692004e+00 1.2012498e-01
 1.2965874e-01 0.0000000e+00 9.4487779e-02 2.3921164e-02 1.6873894e-02
 1.7104071e-02 1.4536135e-02 9.5547084e-03 8.9319199e-03 9.1747530e-03
 7.5784111e-03 2.6370226e-03 1.2230538e-03 1.2643881e-03 1.1704479e-03
 2.4432275e-03 1.6861502e-02 8.6416602e-02 6.2814265e-02 5.4089546e-02
 4.4437896e-02 4.9621828e-02 5.5680104e-02 5.5931810e-02 6.7424029e-02
 8.3166510e-02 7.8420192e-02 8.7607250e-02 9.9305838e-02 8.5748099e-02
 7.9779498e-02 7.9545654e-02 7.2071150e-02 6.6409841e-02 1.2190921e-02
 1.4196251e-02 1.8453369e-02 1.9701429e-02 2.5225762e-02 2.8804079e-02
 2.4596857e-02 1.9014368e-02 1.5810339e-02 2.6627325e-02 2.4237106e-02
 1.8802864e-02 3.6865517e-02 3.5899237e-02 1.7516302e-02 1.2134975e-02]",[0.38827237 0.4463926 ],[0.41286263 0.43732095],17.65047,35.0,0.01765047,0.008336096,0.035,0.033774998,False,True,1000
"[ 3.0778515e-01 -6.2191155e-02  9.8099718e+00  6.5853387e-01
 -9.6384786e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1658617e+00  3.0588450e-02  5.0720435e-02  0.0000000e+00
  3.5958382e-01  1.2051892e-01  4.4751029e-02  3.8932163e-02
  3.6871433e-02  4.0878747e-02  3.7025135e-02  2.3949377e-02
  1.8898541e-02  1.8669449e-02  1.7126499e-02  1.7190672e-02
  1.3834913e-02  9.4717229e-03  5.9649803e-02  3.1813028e-01
  3.5612875e-01  3.8210842e-01  3.8428527e-01  3.6468589e-01
  3.6190778e-01  3.0592278e-01  2.1798491e-01  1.8970305e-01
  1.8023662e-01  1.9965287e-01  2.0605548e-01  2.1427804e-01
  2.4033312e-01  2.6068965e-01  2.5341880e-01  2.6568699e-01
  2.7562831e-02  6.7351393e-02  9.4157085e-02  1.0114446e-01
  8.5969560e-02  5.3877465e-02  4.5155734e-02  4.5918103e-02
  4.4754721e-02  3.7550818e-02  3.8821053e-02  4.5803454e-02
  6.4877726e-02  1.0703605e-01  7.7916004e-02  2.0532889e-02]","[4.23821449e+00 4.24422035e+01 8.18545232e-10 3.14741343e-01
 1.21484727e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.06422567e+00 1.18452102e-01 1.28039747e-01 0.00000000e+00
 1.08369246e-01 2.77609974e-02 1.64237507e-02 1.50347520e-02
 1.44474842e-02 1.71702337e-02 1.60521381e-02 8.83963890e-03
 6.77208137e-03 6.74999598e-03 6.36671437e-03 6.37655379e-03
 6.66160788e-03 3.37062217e-03 1.68554094e-02 7.89707974e-02
 9.65842679e-02 9.28198919e-02 9.57082659e-02 9.33712795e-02
 9.08255950e-02 8.61418173e-02 8.71792808e-02 8.00532028e-02
 8.03376213e-02 8.18432346e-02 7.88544416e-02 8.16217959e-02
 8.89969841e-02 8.44473317e-02 7.79222250e-02 6.93341941e-02
 7.43880915e-03 1.73816029e-02 2.69633364e-02 2.58986019e-02
 2.97131892e-02 1.79334823e-02 1.80528630e-02 1.77107509e-02
 1.81583818e-02 1.54877827e-02 1.79137606e-02 2.31027473e-02
 2.86598299e-02 4.54459004e-02 3.04911248e-02 6.75923424e-03]",[0.40193552 0.39052567],[0.40540147 0.4457492 ],21.135818,52.0,0.021135818,0.010277548,0.052,0.049296007,False,True,1000
"[ 1.4611955e-01 -9.7462051e-02  9.8099718e+00  3.4754327e-01
 -5.6659630e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.7939745e+00 -2.2122957e-02  2.6087866e-03  0.0000000e+00
  2.2998825e-01  9.4273999e-02  3.8332045e-02  3.5383847e-02
  3.4920450e-02  3.2388866e-02  3.0641533e-02  3.1116262e-02
  3.0641494e-02  2.8160570e-02  2.2005783e-02  1.2984554e-02
  5.6281411e-03  4.8418492e-03  1.4961619e-02  1.6796948e-01
  2.7929088e-01  2.8902701e-01  2.6748177e-01  2.4827947e-01
  2.3536073e-01  2.3683356e-01  2.3817560e-01  2.3487177e-01
  2.5695875e-01  2.7572483e-01  2.4334027e-01  2.3082916e-01
  2.4152164e-01  2.8689528e-01  2.6606628e-01  2.3939104e-01
  5.0047386e-02  7.4687071e-02  7.2221771e-02  5.3420383e-02
  2.4295373e-02  1.5780479e-02  3.1248884e-02  4.8820622e-02
  3.5292119e-02  2.1051712e-02  3.7548807e-02  4.9380582e-02
  3.3065021e-02  2.0217393e-02  2.0670081e-02  2.1031233e-02]","[5.68086195e+00 2.68628368e+01 8.18545232e-10 3.42321247e-01
 6.16458766e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.07872534e+00 1.24668114e-01 1.24835752e-01 0.00000000e+00
 1.06274962e-01 2.86637805e-02 1.75247267e-02 1.61883384e-02
 1.60899274e-02 1.48204947e-02 1.39395641e-02 1.37896305e-02
 1.35341939e-02 1.25759682e-02 9.09825601e-03 4.28559864e-03
 1.28238450e-03 6.93155569e-04 3.72596458e-03 6.24546558e-02
 7.69482329e-02 8.32230747e-02 7.56339729e-02 6.91070631e-02
 7.10072070e-02 7.67662898e-02 7.71988407e-02 7.63414875e-02
 7.49740824e-02 7.87756965e-02 7.30058551e-02 7.23873004e-02
 7.44185969e-02 8.28048736e-02 7.31918216e-02 6.20947368e-02
 1.50312027e-02 2.45109014e-02 2.62441728e-02 2.19492149e-02
 6.01024600e-03 3.54159134e-03 8.78152531e-03 2.41083074e-02
 1.48424953e-02 5.84064145e-03 1.08836116e-02 1.43531412e-02
 8.60506669e-03 6.72127679e-03 7.31404452e-03 8.12850241e-03]",[0.19010425 0.5927508 ],[0.4539372  0.33353055],12.084642,25.0,0.012084642,0.007358391,0.025,0.024375005,False,True,1000
"[ 4.29114699e-01  6.17779553e-01  9.80997181e+00  5.22474527e-01
 -1.78876534e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.73578811e+00  9.55259241e-03 -3.63468826e-02  0.00000000e+00
  3.24968427e-01  1.37961507e-01  7.78484195e-02  7.26582035e-02
  6.17896579e-02  4.90816012e-02  4.11591940e-02  3.65834087e-02
  2.82984506e-02  1.91839077e-02  1.48630468e-02  1.24510368e-02
  9.22793616e-03  6.32758858e-03  2.87647340e-02  2.52672672e-01
  3.74788254e-01  4.22210544e-01  4.49375689e-01  4.37457442e-01
  4.17246044e-01  3.62475187e-01  3.02753597e-01  2.87713796e-01
  2.89185852e-01  3.23078036e-01  3.37339878e-01  3.24655831e-01
  3.23677123e-01  3.83726418e-01  3.76261771e-01  3.27471733e-01
  9.28456560e-02  1.17113620e-01  1.26605377e-01  1.21666253e-01
  1.05876796e-01  8.96139368e-02  8.01735744e-02  6.64755479e-02
  4.55051698e-02  4.38089408e-02  5.46488576e-02  6.87542856e-02
  7.37909004e-02  8.51297155e-02  9.36478898e-02  8.05319250e-02]","[4.89803171e+00 2.92037029e+01 8.18545232e-10 3.34738970e-01
 7.03149289e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.22021747e+00 1.31771594e-01 1.16816007e-01 0.00000000e+00
 1.04962617e-01 4.19737138e-02 3.25877406e-02 3.20269354e-02
 2.58559380e-02 2.13881377e-02 1.79051906e-02 1.71034038e-02
 1.32918004e-02 9.05124657e-03 6.87607052e-03 5.89367468e-03
 3.89811676e-03 1.98608055e-03 5.88639127e-03 7.87318051e-02
 8.55467841e-02 7.38468468e-02 7.63560236e-02 7.43749291e-02
 8.96566138e-02 8.66307020e-02 9.44382846e-02 8.78698081e-02
 8.93174633e-02 9.64186043e-02 1.02003306e-01 1.03081934e-01
 9.15987641e-02 9.84170958e-02 8.94596055e-02 7.89406002e-02
 4.38809730e-02 5.39929345e-02 5.65592907e-02 5.66567630e-02
 4.99948636e-02 4.44902256e-02 3.68329249e-02 3.57768759e-02
 2.31720880e-02 2.49734558e-02 3.02927140e-02 3.66784856e-02
 3.95255759e-02 4.14573736e-02 4.60907407e-02 3.60257514e-02]",[0.3248174  0.57022786],[0.41211727 0.3587542 ],17.960835,40.0,0.017960835,0.009293295,0.04,0.0384,False,True,1000
"[ 0.3827512   0.3157579   9.809972    0.55301946 -0.14715852  0.
  0.          0.          1.4906608  -0.02551009 -0.02262695  0.
  0.2870434   0.10592973  0.06191297  0.06115178  0.06058329  0.05432509
  0.04197285  0.0299299   0.02212743  0.01710784  0.01467079  0.01196719
  0.01046214  0.01199264  0.05495631  0.26132503  0.3141372   0.34604123
  0.35827604  0.39203206  0.39063564  0.33629474  0.24146561  0.19620234
  0.23668636  0.24382946  0.23733546  0.23842302  0.22401968  0.24556777
  0.29764038  0.29197526  0.05167416  0.10121984  0.15150177  0.134545
  0.09908744  0.06937033  0.04215746  0.04208612  0.04130646  0.05266543
  0.0946501   0.10227532  0.06226714  0.03945073  0.03358592  0.0346177 ]","[4.9511595e+00 3.9460079e+01 8.1854523e-10 3.0752778e-01 6.6252120e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.4384847e+00 1.6127469e-01
 8.7562807e-02 0.0000000e+00 8.7490685e-02 2.7396386e-02 2.4000742e-02
 2.3795942e-02 2.4404846e-02 2.2270963e-02 1.7409492e-02 1.2988612e-02
 1.0316127e-02 8.1864446e-03 7.2565526e-03 5.8774012e-03 3.4932820e-03
 4.0248865e-03 1.4601306e-02 8.2941473e-02 6.8691380e-02 8.3410695e-02
 6.7982711e-02 7.2051264e-02 7.6614760e-02 7.7812620e-02 7.0495211e-02
 7.2407223e-02 9.1417022e-02 8.5631683e-02 8.1073046e-02 8.2130544e-02
 7.5979188e-02 8.1037268e-02 8.0108613e-02 8.6594373e-02 2.0066591e-02
 3.4355190e-02 5.3356599e-02 4.9646929e-02 3.6122564e-02 2.7132690e-02
 1.9016163e-02 1.9434093e-02 1.9059848e-02 2.1427896e-02 4.4659447e-02
 4.8066471e-02 2.9127486e-02 1.8495327e-02 1.5581931e-02 1.5222197e-02]",[0.3465535 0.4928708],[0.43892485 0.377705  ],17.789597,46.0,0.017789597,0.008287856,0.046,0.043884,False,True,1000
"[ 2.4436925e-01 -2.5832238e-02  9.8099718e+00  4.8439768e-01
  4.6688374e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1949722e+00 -2.7386289e-02  1.3701867e-03  0.0000000e+00
  2.5361410e-01  6.4617902e-02  2.1420371e-02  2.0703437e-02
  1.9820943e-02  2.0418419e-02  2.1350365e-02  2.1778658e-02
  2.0126229e-02  1.5988158e-02  1.1792730e-02  6.5528806e-03
  1.8828477e-03  8.0843233e-03  3.6385052e-02  2.2824878e-01
  3.0701858e-01  2.7568898e-01  2.5965044e-01  2.6207900e-01
  2.3285420e-01  1.9552331e-01  1.7413867e-01  1.7112459e-01
  2.0871824e-01  2.8075364e-01  3.3236852e-01  3.4249535e-01
  3.3557215e-01  3.4930125e-01  3.1694975e-01  3.0533555e-01
  3.0192208e-02  4.1209690e-02  4.7102921e-02  4.1521274e-02
  4.1201659e-02  4.6931237e-02  4.2079024e-02  4.6807930e-02
  6.3573427e-02  5.6244876e-02  3.2699693e-02  2.6762648e-02
  3.3190031e-02  3.3801679e-02  4.6125848e-02  4.2885471e-02]","[5.40101814e+00 3.68320351e+01 8.18545232e-10 3.00898969e-01
 6.65557086e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.30599689e+00 1.16752967e-01 1.32495224e-01 0.00000000e+00
 9.67374220e-02 1.58702973e-02 7.44128553e-03 7.00996071e-03
 6.53749984e-03 6.79251365e-03 7.18953460e-03 7.32816989e-03
 6.72658673e-03 4.57041850e-03 3.29078082e-03 1.59286754e-03
 2.32569961e-04 2.83862394e-03 1.08916434e-02 6.79558069e-02
 1.01416193e-01 9.61321071e-02 9.59488600e-02 9.60572436e-02
 9.59665626e-02 8.42800811e-02 7.52775371e-02 7.27133974e-02
 8.09081346e-02 9.37252790e-02 9.06687677e-02 9.28337798e-02
 9.63474810e-02 1.06364675e-01 9.55274776e-02 1.06343672e-01
 9.12794564e-03 1.66749991e-02 2.29485743e-02 2.45552342e-02
 2.18714960e-02 2.66555287e-02 1.97276548e-02 2.01013498e-02
 2.43776366e-02 2.59526409e-02 1.33113647e-02 1.17196757e-02
 1.16866995e-02 1.13239344e-02 1.72017589e-02 1.84321161e-02]",[0.27103442 0.39054582],[0.4011028  0.47788912],13.354584,72.0,0.013354584,0.0063199713,0.072,0.066816,False,True,1000
"[ 3.87691796e-01  3.60615730e-01  9.80997181e+00  5.74361086e-01
 -5.81446141e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.28395641e+00 -9.59012508e-02 -6.87121823e-02  0.00000000e+00
  3.64760160e-01  1.80792719e-01  8.31999034e-02  5.66615239e-02
  4.56925780e-02  3.96081544e-02  3.44900079e-02  3.03573888e-02
  2.34880168e-02  1.80996004e-02  1.32759986e-02  9.58241057e-03
  9.78862401e-03  1.76925994e-02  6.07751012e-02  2.82675922e-01
  3.44482243e-01  3.71492803e-01  3.13287139e-01  2.75952071e-01
  2.29076013e-01  1.94268107e-01  1.79797694e-01  1.52315944e-01
  1.42325714e-01  1.87506333e-01  2.62355059e-01  2.95500636e-01
  3.02748531e-01  3.26950908e-01  3.18555892e-01  2.83952653e-01
  4.31754664e-02  7.56389499e-02  1.54524907e-01  1.68868393e-01
  1.33032560e-01  1.12702034e-01  8.01002011e-02  4.63234745e-02
  5.11725508e-02  8.16107914e-02  1.01776361e-01  7.34590515e-02
  4.24975008e-02  3.80292386e-02  4.86148968e-02  5.82626238e-02]","[4.16676426e+00 3.83087654e+01 8.18545232e-10 3.71387810e-01
 1.68437421e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.14983273e+00 1.47740096e-01 8.83415490e-02 0.00000000e+00
 1.10979006e-01 5.72457500e-02 4.25819717e-02 2.74349470e-02
 2.20902916e-02 1.90953147e-02 1.64781027e-02 1.50815882e-02
 1.16587430e-02 9.56213474e-03 6.23289589e-03 4.26481897e-03
 3.80321988e-03 7.53458403e-03 2.00184043e-02 7.53451511e-02
 7.36443996e-02 7.69473910e-02 8.61192942e-02 8.99488255e-02
 8.34973082e-02 7.92845711e-02 7.95215517e-02 6.68262616e-02
 6.41461313e-02 7.67078102e-02 1.02619261e-01 1.02311432e-01
 1.05976515e-01 9.57247466e-02 9.67056751e-02 7.70966262e-02
 1.44779207e-02 3.24241444e-02 6.43585771e-02 7.22351745e-02
 5.76627478e-02 5.03351055e-02 3.79800871e-02 2.32722722e-02
 2.69542374e-02 4.53020111e-02 6.66359961e-02 4.17141989e-02
 2.15304233e-02 2.09385175e-02 2.39782743e-02 2.89142076e-02]",[0.34435022 0.42125112],[0.47007835 0.46082097],23.4086,12.0,0.0234086,0.012220999,0.012,0.011856,False,True,1000
"[ 2.94289559e-01  3.18719186e-02  9.80997181e+00  4.63421345e-01
 -1.33092076e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.63632321e+00 -1.04189301e-02 -1.11519005e-02  0.00000000e+00
  3.03314060e-01  1.29946277e-01  6.05834946e-02  3.77714112e-02
  3.12927924e-02  3.28311548e-02  3.29826660e-02  2.76719294e-02
  2.22667232e-02  2.01743096e-02  1.83593445e-02  1.46262590e-02
  7.26280408e-03  9.27551743e-03  3.84446941e-02  2.42209911e-01
  3.37513983e-01  3.63910168e-01  3.47145021e-01  3.49075973e-01
  3.31044704e-01  2.79492110e-01  2.03351885e-01  1.81932583e-01
  2.06153631e-01  2.40199149e-01  2.43095875e-01  2.45819956e-01
  2.55783886e-01  2.80900896e-01  2.88990021e-01  2.84903675e-01
  4.13106270e-02  5.25964946e-02  1.12138428e-01  1.16924644e-01
  5.48699535e-02  2.61044484e-02  2.34717485e-02  2.35191658e-02
  2.27829944e-02  4.03182283e-02  6.59699813e-02  6.78352937e-02
  5.75759187e-02  5.95983900e-02  4.89946529e-02  4.02176306e-02]","[5.00626898e+00 4.03341217e+01 8.18545232e-10 3.26502532e-01
 1.03716470e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.97323394e+00 1.29356056e-01 1.20410927e-01 0.00000000e+00
 1.08830377e-01 4.10089158e-02 2.95768026e-02 1.76696535e-02
 1.60607807e-02 1.70342494e-02 1.73913501e-02 1.47948200e-02
 1.20572168e-02 1.08613912e-02 9.63818841e-03 7.33071240e-03
 2.59697041e-03 1.98559114e-03 1.34447291e-02 7.79466256e-02
 8.35511759e-02 8.72512683e-02 8.49718824e-02 8.78621340e-02
 8.74935538e-02 8.80137160e-02 7.90280625e-02 7.32895434e-02
 7.29287043e-02 8.27605501e-02 8.69841501e-02 8.76590461e-02
 8.29525813e-02 9.18719620e-02 8.85916650e-02 8.05313587e-02
 1.59985237e-02 1.44715095e-02 3.48722860e-02 3.69549207e-02
 1.56035693e-02 8.77149682e-03 8.47160909e-03 8.58909078e-03
 8.18885956e-03 1.52866580e-02 2.98635345e-02 2.82989796e-02
 2.29696222e-02 2.83427034e-02 2.00970452e-02 1.55549981e-02]",[0.3041495 0.5464169],[0.43116444 0.32071933],16.553326,52.0,0.016553326,0.009297069,0.052,0.049296007,False,True,1000
"[ 0.17338432 -0.26776946  9.809972    0.22276054 -0.01581126  0.
  0.          0.          2.0614288   0.02173483  0.07894943  0.
  0.10546829  0.03112455  0.01370035  0.0130574   0.01315008  0.01424518
  0.01991147  0.02482395  0.02321363  0.02047101  0.0183651   0.01508927
  0.01233228  0.01040118  0.03893902  0.1158677   0.18258642  0.17924535
  0.16936195  0.1842241   0.20150957  0.20787649  0.19356367  0.16307688
  0.1523526   0.16266069  0.18695822  0.19402245  0.19190344  0.22061469
  0.1871256   0.15841915  0.01729181  0.01814665  0.02778774  0.04391792
  0.05777416  0.05896614  0.05267582  0.04539946  0.05160268  0.04488435
  0.0225664   0.02082803  0.02470641  0.02875635  0.0263337   0.01983973]","[6.2702618e+00 2.2963299e+01 8.1854523e-10 2.6294684e-01 5.3871673e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4069858e+00 1.0848017e-01
 1.3481447e-01 0.0000000e+00 5.1999584e-02 9.3894834e-03 5.2470281e-03
 5.0774948e-03 4.9455995e-03 5.4757865e-03 9.4412677e-03 1.4362908e-02
 1.2364243e-02 1.0070745e-02 8.4318928e-03 6.6119973e-03 5.4107327e-03
 4.0706089e-03 9.1046281e-03 5.0835259e-02 6.9123663e-02 6.4539149e-02
 6.1652467e-02 6.6275708e-02 6.7448594e-02 6.9956660e-02 6.9736518e-02
 5.8422569e-02 5.3260200e-02 6.2469367e-02 7.1536571e-02 7.6934069e-02
 7.0841804e-02 7.2742470e-02 5.6907803e-02 4.5079913e-02 3.2066884e-03
 3.1949980e-03 5.5635888e-03 1.2198526e-02 2.4584590e-02 2.6387282e-02
 2.5551194e-02 1.9651730e-02 2.0101370e-02 1.6739940e-02 6.2981630e-03
 5.7641570e-03 7.0808735e-03 7.5511443e-03 6.6642375e-03 3.6120589e-03]",[0.10887807 0.68302786],[0.40839377 0.26045823],6.9041953,46.0,0.0069041955,0.004252838,0.046,0.043883994,False,True,1000
"[ 4.0101242e-01 -7.2969295e-02  9.8099718e+00  6.4209127e-01
 -1.2880011e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.2676994e+00 -2.8322246e-02 -4.0755466e-02  0.0000000e+00
  3.3428144e-01  9.6644841e-02  5.2229725e-02  4.3573000e-02
  4.1884486e-02  4.0560104e-02  3.6489218e-02  2.7567094e-02
  1.9822573e-02  1.5589193e-02  8.6230244e-03  2.1418955e-03
  7.7365017e-05  1.2637455e-03  4.2315517e-02  3.0838314e-01
  2.7858800e-01  3.8211238e-01  4.1732556e-01  4.1692695e-01
  3.9839706e-01  3.2967919e-01  2.4786817e-01  2.0614877e-01
  2.0148048e-01  2.7606034e-01  3.4426731e-01  3.2500979e-01
  3.5679227e-01  3.7419564e-01  3.3640301e-01  2.4443050e-01
  1.1348979e-01  1.3809040e-01  1.2187039e-01  1.0582599e-01
  1.0813240e-01  1.0619121e-01  6.9814056e-02  3.7036151e-02
  3.4541812e-02  4.6778958e-02  5.6139156e-02  6.5464102e-02
  7.6074973e-02  1.0900599e-01  1.1959294e-01  9.1262653e-02]","[4.7802439e+00 4.5821644e+01 8.1854523e-10 2.7611759e-01 5.0707977e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7050946e+00 1.6068919e-01
 8.6847514e-02 0.0000000e+00 9.7894080e-02 2.6642073e-02 2.0315520e-02
 1.6030934e-02 1.5706953e-02 1.5636750e-02 1.4986511e-02 1.0254802e-02
 7.0364871e-03 5.7518440e-03 3.0474064e-03 3.9751668e-04 3.8497096e-06
 9.3161034e-05 6.8225432e-03 8.2774520e-02 6.5133862e-02 7.7770703e-02
 6.6237755e-02 6.9227979e-02 7.5653240e-02 7.4670561e-02 7.7455714e-02
 7.9729199e-02 6.8361521e-02 7.6979086e-02 9.6287847e-02 8.6372696e-02
 8.3959505e-02 8.7848537e-02 6.6164970e-02 6.0792066e-02 5.0006256e-02
 6.4219363e-02 5.4340400e-02 5.0381985e-02 5.4079536e-02 5.6295890e-02
 3.8358122e-02 1.8460162e-02 1.7310891e-02 2.7671548e-02 2.9920070e-02
 3.6619995e-02 4.0087689e-02 5.3065535e-02 6.2543623e-02 4.1114330e-02]",[0.4104869  0.41904315],[0.42115864 0.41124216],18.35434,42.0,0.01835434,0.008328686,0.042,0.040235996,False,True,1000
"[ 5.0566387e-01 -8.6277053e-02  9.8099718e+00  7.5541097e-01
 -5.5330660e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.3556896e-01  6.7908904e-03  2.0883434e-02  0.0000000e+00
  3.6522847e-01  1.1524535e-01  4.7531430e-02  4.6436984e-02
  4.7238566e-02  4.4097751e-02  2.8659731e-02  1.3087551e-02
  4.3564583e-03  2.1534618e-03  3.9607156e-03  2.3627903e-03
  1.0670327e-03  1.1471233e-02  9.1809027e-02  3.5499638e-01
  4.2815539e-01  5.0650615e-01  5.1280904e-01  4.7160429e-01
  4.1775659e-01  3.5398769e-01  3.0987141e-01  2.9297233e-01
  2.5247282e-01  2.7127466e-01  3.6261821e-01  3.5902804e-01
  3.3738780e-01  3.9348167e-01  3.9828295e-01  3.9159849e-01
  2.6621787e-02  3.4158960e-02  6.2410451e-02  8.1724554e-02
  8.8475913e-02  7.8852616e-02  4.8506688e-02  2.9951192e-02
  1.7060839e-02  1.1533582e-02  3.3190425e-02  8.6945660e-02
  8.5572653e-02  5.4696232e-02  5.0493874e-02  3.4469783e-02]","[4.0777469e+00 4.3910591e+01 8.1854523e-10 2.3076180e-01 1.1648702e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.6530285e+00 1.3090602e-01
 1.1861174e-01 0.0000000e+00 9.3991086e-02 2.5849804e-02 1.6215442e-02
 1.5987981e-02 1.6550897e-02 1.7309245e-02 1.1207194e-02 5.3989221e-03
 1.4964462e-03 6.4358674e-04 1.4376803e-03 8.0197002e-04 1.1338913e-04
 5.8718449e-03 2.5747474e-02 8.5237280e-02 7.5020172e-02 6.2874436e-02
 6.3237272e-02 7.3977590e-02 9.2173137e-02 9.1042832e-02 9.4468355e-02
 9.9869393e-02 9.4934657e-02 8.4507026e-02 1.0068674e-01 1.0180206e-01
 9.5578626e-02 9.2829458e-02 8.0798127e-02 7.5275846e-02 8.6294580e-03
 9.9706631e-03 2.0091083e-02 2.4993358e-02 2.9331272e-02 3.1765688e-02
 1.9267548e-02 1.1167779e-02 5.6731077e-03 3.9499858e-03 8.1697805e-03
 3.6859225e-02 2.6628371e-02 1.3440426e-02 1.4379069e-02 9.0613207e-03]",[0.47929147 0.28052822],[0.38149604 0.5124723 ],21.14692,71.0,0.02114692,0.0103226565,0.071,0.065959,False,True,1000
