Time Step,State,Action,Reward,Cost
10,"[-3.2481823   0.1286537   9.81        0.27387843 -0.10743578  0.
  0.          0.          2.974303   -0.13361475 -0.48181647  0.
  0.          0.19838785  0.6973891   0.49900126  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.546736    0.5589197
  0.05917592  0.          0.43833187  0.5036603   0.75430864  0.3623597
  0.62730277  0.5229148   0.51245755  0.6292324   0.74045914  0.5760276
  0.10655206  0.61332226  0.66107166  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.15075098  0.8118226 ]",[0.27814388 0.6984807 ],0.0013884277,0.0
11,"[ 2.3307929e+00 -4.6695800e+00  9.8100004e+00  3.1831419e-01
 -9.0342179e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.6647462e+00 -1.5222840e-01 -4.7626308e-01  0.0000000e+00
  0.0000000e+00  2.5562909e-01  6.9785196e-01  4.4222283e-01
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  5.5219036e-01  5.6049520e-01  8.3048008e-03  0.0000000e+00
  4.8280582e-01  5.0228393e-01  7.5233102e-01  2.9204270e-01
  6.2558734e-01  4.5455903e-01  5.8361042e-01  6.2913728e-01
  7.4159867e-01  4.9083534e-01  1.2571555e-01  6.1534739e-01
  5.8691031e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  2.2695100e-01  8.1386131e-01]",[0.816347 1.      ],0.001657395,0.0
12,"[ 2.3651254   0.0523109   9.81        0.35929295 -0.12873223  0.
  0.          0.          2.9412067  -0.17731386 -0.4675038   0.
  0.          0.33657467  0.6984044   0.36182973  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.5623316   0.49961832
  0.          0.04368997  0.5007166   0.5544204   0.7500581   0.2604826
  0.6235829   0.36310026  0.6289769   0.5790135   0.74286836  0.46783373
  0.20763053  0.61769193  0.48330912  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.33291093  0.81622005]",[-0.0019896  1.       ],0.0017261165,0.0
13,"[-0.5953676   0.27279523  9.81        0.3387827  -0.14524758  0.
  0.          0.          2.992441   -0.20485653 -0.45610723  0.
  0.          0.42862612  0.6989798   0.27035365  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.5642475   0.4209182
  0.          0.1144971   0.49909735  0.659961    0.747701    0.35963452
  0.6214839   0.2618494   0.6287727   0.4961449   0.7441521   0.3917227
  0.30040747  0.6201317   0.36574855  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.45292494  0.8186735 ]",[1. 1.],0.002005244,0.0
14,"[ 2.3370354   0.31089452  9.81        0.37699893 -0.16101474  0.
  0.          0.          2.9939537  -0.23178257 -0.44303143  0.
  0.          0.52076614  0.6996482   0.17888203  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.56630075  0.34144744
  0.          0.1848281   0.4974669   0.7452655   0.72610116  0.45826676
  0.6192378   0.26304874  0.6284514   0.6276867   0.7453955   0.31439573
  0.39463043  0.6226986   0.24633703  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.57491493  0.821252  ]",[-0.4341874  1.       ],0.0018189785,0.0
15,"[-3.295663    0.33724892  9.81        0.29965898 -0.17461671  0.
  0.          0.          2.993468   -0.2578774  -0.42836812  0.
  0.          0.6135813   0.7002545   0.0866732   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.568252    0.26120004
  0.          0.25499249  0.49588734  0.74292576  0.6170205   0.55601597
  0.6170902   0.36935666  0.6281409   0.7465788   0.7341792   0.23669857
  0.48952982  0.62515295  0.12624805  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.6974693   0.82371736]",[-0.39947104  0.20870817],0.0016627536,0.0
16,"[-3.3357522e+00 -1.0689009e+01  9.8100004e+00  2.3085207e-01
 -1.1485034e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
 -4.2259241e-03 -2.6245826e-01 -4.2557687e-01  0.0000000e+00
  0.0000000e+00  6.2215114e-01  7.0080876e-01  7.8657635e-02
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  5.6982267e-01  2.5017270e-01  0.0000000e+00  2.6402634e-01
  4.9473688e-01  7.4114668e-01  6.0090441e-01  5.7494229e-01
  6.1537302e-01  3.9448708e-01  6.2778908e-01  7.4739265e-01
  7.0133644e-01  2.2017701e-01  5.0703943e-01  6.2707222e-01
  1.0657482e-01  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  7.1906775e-01  8.2564253e-01]",[ 1.         -0.16184592],0.0018823115,0.0
17,"[ 2.3529897  11.797239    9.81        0.27940536 -0.11277513  0.
  0.          0.          0.17954317 -0.25991237 -0.42713648  0.
  0.          0.6015903   0.7014362   0.09984595  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.57138944  0.26293337
  0.          0.25210977  0.4937208   0.7394852   0.6168335   0.5670878
  0.61367553  0.39238745  0.6273331   0.74805814  0.7002364   0.22425738
  0.49836197  0.6289248   0.12057519  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.7069229   0.8274981 ]",[0.38295043 1.        ],0.0018181547,0.0
18,"[ 2.4337137  -0.08220404  9.81        0.3200951  -0.17274614  0.
  0.          0.          2.8792028  -0.2791025  -0.41485152  0.
  0.          0.6704742   0.7020422   0.03156806  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.5732131   0.20186093
  0.          0.30407798  0.4923479   0.73738855  0.5357515   0.6116663
  0.58286613  0.4744337   0.6269139   0.7489969   0.5985142   0.16361387
  0.5719696   0.631171    0.02798105  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.8017704   0.82975143]",[0.49679613 1.        ],0.002334598,0.0
19,"[ 2.3741717   0.34657124  9.81        0.35739306 -0.18817084  0.
  0.          0.          2.9883265  -0.3031916  -0.3975863   0.
  0.05974241  0.7028204   0.643078    0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.5753424   0.12073002
  0.          0.37208205  0.49087626  0.7350538   0.430773    0.609334
  0.484321    0.5792136   0.62631017  0.74993426  0.49087137  0.0847269
  0.6337316   0.5986412   0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.09508009  0.8323174   0.73723733]",[-0.30203748  0.8384719 ],0.0022968354,0.0
